FID,gid,name,state_name,amch4t
biogas_methane_pot_animal_manure.809,809,Clayton,Iowa,1972.02461
biogas_methane_pot_animal_manure.811,811,Crawford,Iowa,2943.16441
biogas_methane_pot_animal_manure.830,830,Harrison,Iowa,310.282697
biogas_methane_pot_animal_manure.832,832,Howard,Iowa,2024.00741
biogas_methane_pot_animal_manure.1741,1741,Washington,Nebraska,1145.05343
biogas_methane_pot_animal_manure.2401,2401,Lincoln,South Dakota,485.709309
biogas_methane_pot_animal_manure.3103,3103,Sauk,Wisconsin,714.54682
biogas_methane_pot_animal_manure.599,599,Bureau,Illinois,1652.82166
biogas_methane_pot_animal_manure.601,601,Carroll,Illinois,1163.19404
biogas_methane_pot_animal_manure.630,630,Henry,Illinois,2899.18312
biogas_methane_pot_animal_manure.636,636,Jo Daviess,Illinois,652.628442
biogas_methane_pot_animal_manure.671,671,Putnam,Illinois,0
biogas_methane_pot_animal_manure.674,674,Rock Island,Illinois,600.016342
biogas_methane_pot_animal_manure.659,659,Mercer,Illinois,1068.29458
biogas_methane_pot_animal_manure.788,788,Adair,Iowa,139.385173
biogas_methane_pot_animal_manure.790,790,Allamakee,Iowa,1088.53292
biogas_methane_pot_animal_manure.792,792,Audubon,Iowa,2401.71907
biogas_methane_pot_animal_manure.794,794,Black Hawk,Iowa,1325.70624
biogas_methane_pot_animal_manure.801,801,Carroll,Iowa,4513.03756
biogas_methane_pot_animal_manure.802,802,Cass,Iowa,579.235109
biogas_methane_pot_animal_manure.803,803,Cedar,Iowa,1396.53424
biogas_methane_pot_animal_manure.804,804,Cerro Gordo,Iowa,1132.73254
biogas_methane_pot_animal_manure.805,805,Cherokee,Iowa,2131.80044
biogas_methane_pot_animal_manure.806,806,Chickasaw,Iowa,1979.21984
biogas_methane_pot_animal_manure.808,808,Clay,Iowa,1834.31409
biogas_methane_pot_animal_manure.817,817,Dickinson,Iowa,365.233742
biogas_methane_pot_animal_manure.818,818,Dubuque,Iowa,2255.36238
biogas_methane_pot_animal_manure.819,819,Emmet,Iowa,1395.14849
biogas_methane_pot_animal_manure.820,820,Fayette,Iowa,2449.34589
biogas_methane_pot_animal_manure.821,821,Floyd,Iowa,1369.09973
biogas_methane_pot_animal_manure.822,822,Franklin,Iowa,5123.44685
biogas_methane_pot_animal_manure.825,825,Grundy,Iowa,1994.3743
biogas_methane_pot_animal_manure.828,828,Hancock,Iowa,2432.52068
biogas_methane_pot_animal_manure.829,829,Hardin,Iowa,7463.65485
biogas_methane_pot_animal_manure.833,833,Humboldt,Iowa,931.990441
biogas_methane_pot_animal_manure.834,834,Ida,Iowa,1010.869
biogas_methane_pot_animal_manure.836,836,Jackson,Iowa,565.877664
biogas_methane_pot_animal_manure.837,837,Jasper,Iowa,1961.94612
biogas_methane_pot_animal_manure.841,841,Keokuk,Iowa,1599.08288
biogas_methane_pot_animal_manure.842,842,Kossuth,Iowa,6412.12087
biogas_methane_pot_animal_manure.845,845,Louisa,Iowa,1289.1051
biogas_methane_pot_animal_manure.847,847,Lyon,Iowa,5099.8062
biogas_methane_pot_animal_manure.848,848,Madison,Iowa,306.576378
biogas_methane_pot_animal_manure.851,851,Marshall,Iowa,1194.17823
biogas_methane_pot_animal_manure.853,853,Mitchell,Iowa,2420.78026
biogas_methane_pot_animal_manure.854,854,Monona,Iowa,269.701954
biogas_methane_pot_animal_manure.858,858,O'Brien,Iowa,4113.8151
biogas_methane_pot_animal_manure.859,859,Osceola,Iowa,4044.42111
biogas_methane_pot_animal_manure.861,861,Palo Alto,Iowa,4510.68521
biogas_methane_pot_animal_manure.864,864,Polk,Iowa,261.120283
biogas_methane_pot_animal_manure.868,868,Sac,Iowa,4062.39374
biogas_methane_pot_animal_manure.871,871,Sioux,Iowa,9985.22544
biogas_methane_pot_animal_manure.881,881,Webster,Iowa,1402.47306
biogas_methane_pot_animal_manure.882,882,Winnebago,Iowa,1176.92278
biogas_methane_pot_animal_manure.883,883,Winneshiek,Iowa,1328.03826
biogas_methane_pot_animal_manure.885,885,Worth,Iowa,298.760354
biogas_methane_pot_animal_manure.886,886,Wright,Iowa,4908.50741
biogas_methane_pot_animal_manure.1672,1672,Cuming,Nebraska,5092.43419
biogas_methane_pot_animal_manure.1678,1678,Dixon,Nebraska,529.636097
biogas_methane_pot_animal_manure.1739,1739,Thurston,Nebraska,494.401886
biogas_methane_pot_animal_manure.2423,2423,Union,South Dakota,851.056673
biogas_methane_pot_animal_manure.3057,3057,Columbia,Wisconsin,309.913292
biogas_methane_pot_animal_manure.3058,3058,Crawford,Wisconsin,145.366358
biogas_methane_pot_animal_manure.3059,3059,Dane,Wisconsin,724.637685
biogas_methane_pot_animal_manure.3068,3068,Grant,Wisconsin,1235.45896
biogas_methane_pot_animal_manure.3071,3071,Iowa,Wisconsin,304.883521
biogas_methane_pot_animal_manure.3079,3079,Lafayette,Wisconsin,515.35448
biogas_methane_pot_animal_manure.3109,3109,Vernon,Wisconsin,296.009223
biogas_methane_pot_animal_manure.3099,3099,Richland,Wisconsin,150.555553
biogas_methane_pot_animal_manure.1552,1552,Morgan,Missouri,1485.79267
biogas_methane_pot_animal_manure.1579,1579,Schuyler,Missouri,64.3210687
biogas_methane_pot_animal_manure.823,823,Fremont,Iowa,71.3946602
biogas_methane_pot_animal_manure.1729,1729,Sarpy,Nebraska,112.851047
biogas_methane_pot_animal_manure.947,947,Miami,Kansas,33.3364812
biogas_methane_pot_animal_manure.952,952,Nemaha,Kansas,2055.34772
biogas_methane_pot_animal_manure.953,953,Neosho,Kansas,49.9112992
biogas_methane_pot_animal_manure.975,975,Shawnee,Kansas,3.01471474
