location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Cle Elum_Mobile,037,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,1,µg/m³,47.197609,-120.95825,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Jackson Mobile,Jackson,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,3,µg/m³,43.48256,-110.745261,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Jackson Mobile,Jackson,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,11,µg/m³,43.48256,-110.745261,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Cody Mobile,PARK,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,2,µg/m³,44.52612,-109.016733,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Laramie County Mobil,Cheyenne,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,1,µg/m³,41.08536,-104.52277,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Laramie County Mobil,Cheyenne,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,9,µg/m³,41.08536,-104.52277,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Maple Falls-Azure Wa,WHATCOM,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,6.4,µg/m³,48.9477,-122.1471,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
South Bend - First S,PACIFIC,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,12.9,µg/m³,46.66186,-123.7916,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Mobile-White Salmon,KLICKITAT,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,20.5,µg/m³,45.735931,-121.488398,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Auburn M St SE,Seattle-Tacoma-Bellevue,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,13.7,µg/m³,47.2875,-122.2144,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Tukwila_Allentown,Seattle-Tacoma-Bellevue,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,16.4,µg/m³,47.498535,-122.278385,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Mobile-Pomeroy,GARFIELD,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,10,µg/m³,46.474438,-117.614764,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Eugene - Wilkes Dr.,Eugene-Springfield,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,41.1,µg/m³,44.1158,-123.12107,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Lane Regional Air Protection Agency""}]"
Lake Ilo,DUNN,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,3,µg/m³,47.342589,-102.645997,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Dakota Department of Health""}]"
Lake Ilo,DUNN,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,6,µg/m³,47.342589,-102.645997,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Dakota Department of Health""}]"
TRINITY ST MARKS,Detroit-Warren-Livonia,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,co,0.2,ppm,42.295824,-83.129431,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Michigan Department of Environmental Quality""}]"
DET POLICE 4TH,Detroit-Warren-Livonia,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,co,0,ppm,42.312158,-83.091943,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Michigan Department of Environmental Quality""}]"
ChelmsfordNR,MIDDLESEX,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,pm25,1,µg/m³,42.612113,-71.307519,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Massachusetts Dept. of Environmental Protection""}]"
PittsfieldES,BERKSHIRE,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,pm25,0,µg/m³,42.453035,-73.238776,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Massachusetts Dept. of Environmental Protection""}]"
KS Hawaii,HAWAII,US,2018-11-15T05:00:00.000Z,2018-11-14T19:00:00-10:00,pm25,4,µg/m³,19.611915,-155.055038,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Paonia,DELTA,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,4,µg/m³,38.8763,-107.6022,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Bureau of Land Management - Colorado""}]"
Kennedy Meadows,TULARE,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,-1,µg/m³,36.0214,-118.137,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Forest Service""}]"
Kernville,KERN,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,-1.4,µg/m³,35.755,-118.4175,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Forest Service""}]"
Cataño 40,CATANO,US,2018-11-15T05:00:00.000Z,2018-11-15T01:00:00-04:00,pm25,4.6,µg/m³,18.428388,-66.141657,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Puerto Rico Environmental Quality Board""}]"
Cataño 40,CATANO,US,2018-11-15T05:00:00.000Z,2018-11-15T01:00:00-04:00,pm10,21,µg/m³,18.428388,-66.141657,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Puerto Rico Environmental Quality Board""}]"
Murphy Ridge,Evanston,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,5,µg/m³,41.3694,-111.0419,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Moxa Arch,SWEETWATER,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,3,µg/m³,41.750599,-109.789703,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Wamsutter,Rock Springs,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,10,µg/m³,41.6778,-108.0242,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Daniel South,SUBLETTE,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,0,µg/m³,42.7914,-110.0547,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Boulder,SUBLETTE,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,3,µg/m³,42.7186,-109.7531,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Sheridan PD,Sheridan,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,39,µg/m³,44.815142,-106.955933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Cheyenne NCore,Cheyenne,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,0,µg/m³,41.18222,-104.778336,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Cheyenne NCore,Cheyenne,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,co,0.13,ppm,41.18222,-104.778336,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Johnson County,JOHNSON,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,-1,µg/m³,43.87483,-106.50974,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
South Pass,Riverton,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,-1,µg/m³,42.5275,-108.7203,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Converse County Long,CONVERSE,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,3,µg/m³,43.1,-105.5,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
Converse County Long,CONVERSE,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,co,0.08,ppm,43.1,-105.5,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Wyoming Department of Environmental Quality""}]"
White Swan-Yakama Tr,YAKIMA,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,26.4,µg/m³,46.375431,-120.729317,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Toppenish-Yakama Tri,Yakima,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,23,µg/m³,46.380199,-120.332603,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Yakima-4th Ave,Yakima,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,41,µg/m³,46.594952,-120.512283,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Yakima-4th Ave,Yakima,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,42,µg/m³,46.594952,-120.512283,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Sunnyside-S 16th,YAKIMA,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,37,µg/m³,46.32033,-119.9981,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Rosalia-Josephine St,Pullman,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,16.5,µg/m³,47.2313,-117.3685,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Lacrosse-Hill St,Pullman,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,14.9,µg/m³,46.8153,-117.8739,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Pullman-Dexter Ave,Pullman,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,11.4,µg/m³,46.7245,-117.1801,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Bellingham Pacifc,WHATCOM,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,9,µg/m³,48.760036,-122.456463,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Burbank-Maple Street,Walla Walla,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,33,µg/m³,46.2001,-119.0084,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Walla Walla-12th St,Walla Walla,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,16.9,µg/m³,46.0588,-118.3514,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Lacey-College St,Olympia,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,24.9,µg/m³,47.029301,-122.821503,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Colville-E 1st St,STEVENS,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,29.5,µg/m³,48.54469,-117.903222,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Colville-E 1st St,STEVENS,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,37,µg/m³,48.54469,-117.903222,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Wellpinit-Spokane Tr,STEVENS,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,17.8,µg/m³,47.885201,-117.988602,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Spokane-E Broadway A,Spokane,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,33,µg/m³,47.663963,-117.257652,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Colbert-Greenbluff,Spokane,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,24.4,µg/m³,47.808226,-117.34327,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Spokane-Monroe St.,Spokane,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,29.2,µg/m³,47.6997,-117.4263,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Spokane-Augusta Ave,Spokane,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,30,µg/m³,47.672501,-117.364899,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Spokane-Augusta Ave,Spokane,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,36,µg/m³,47.672501,-117.364899,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Cheney-Turnbull (SO),Spokane,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,11,µg/m³,47.416401,-117.5298,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Marysville-7th Ave,Seattle-Tacoma-Bellevue,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,21.5,µg/m³,48.055,-122.175797,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Darrington-Fir St,Seattle-Tacoma-Bellevue,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,44,µg/m³,48.246799,-121.603104,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Lynnwood-212th,Seattle-Tacoma-Bellevue,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,14.1,µg/m³,47.8064,-122.3167,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Anacortes-Bartholome,SKAGIT,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,6.4,µg/m³,48.465401,-122.559998,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Mt Vernon-2nd Ave,Mount Vernon-Anacortes,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,11.4,µg/m³,48.410198,-122.337601,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Anacortes-202 Ave (S,SKAGIT,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,17,µg/m³,48.52059,-122.61428,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
